Colonies,Strain,Replicate,Cycles,Temperature
118,YHL033C,1,10,Liquid Nitrogen
215,YHL033C,1,20,Liquid Nitrogen
130,YHL033C,1,30,Liquid Nitrogen
12,YHL033C,1,40,Liquid Nitrogen
25,YHL033C,1,50,Liquid Nitrogen
79,YHL033C,1,10,-20
194,YHL033C,2,10,-20
163,YHL033C,3,10,-20
230,YHL033C,1,20,-20
135,YHL033C,2,20,-20
178,YHL033C,3,20,-20
147,YHL033C,1,30,-20
114,YHL033C,2,30,-20
123,YHL033C,3,30,-20
245,YHL033C,1,40,-20
105,YHL033C,2,40,-20
140,YHL033C,3,40,-20
119,YHL033C,1,50,-20
130,YHL033C,2,50,-20
100,YHL033C,3,50,-20
121,YHL033C,1,0,-20
110,YIL066C,1,10,-20
200,YIL066C,2,10,-20
215,YIL066C,3,10,-20
138,YIL066C,2,20,-20
231,YIL066C,3,20,-20
165,YIL066C,1,30,-20
96,YIL066C,2,30,-20
10,YIL066C,3,30,-20
105,YIL066C,1,40,-20
100,YIL066C,2,40,-20
55,YIL066C,3,40,-20
72,YIL066C,1,50,-20
60,YIL066C,2,50,-20
102,YIL066C,3,50,-20
70,YIL066C,1,0,-20
