OD,Time,Strain,Replicate,Cycles,Temperature
0.063,0,YHL033C,1,0,-20
0.063,0,YHL033C,2,0,-20
0.063,0,YHL033C,3,0,-20
0.063,0,YHL033C,1,10,-20
0.063,0,YHL033C,2,10,-20
0.063,0,YHL033C,3,10,-20
0.063,0,YHL033C,1,20,-20
0.063,0,YHL033C,2,20,-20
0.063,0,YHL033C,3,20,-20
0.063,0,YHL033C,1,30,-20
0.063,0,YHL033C,2,30,-20
0.063,0,YHL033C,3,30,-20
0.063,0,YHL033C,1,40,-20
0.063,0,YHL033C,2,40,-20
0.063,0,YHL033C,3,40,-20
0.063,0,YHL033C,1,50,-20
0.063,0,YHL033C,2,50,-20
0.063,0,YHL033C,3,50,-20
0.085,2,YHL033C,1,0,-20
0.085,2,YHL033C,2,0,-20
0.085,2,YHL033C,3,0,-20
0.106,2,YHL033C,1,10,-20
0.091,2,YHL033C,2,10,-20
0.087,2,YHL033C,3,10,-20
0.087,2,YHL033C,1,20,-20
0.089,2,YHL033C,2,20,-20
0.107,2,YHL033C,3,20,-20
0.09,2,YHL033C,1,30,-20
0.094,2,YHL033C,2,30,-20
0.093,2,YHL033C,3,30,-20
0.085,2,YHL033C,1,40,-20
0.089,2,YHL033C,2,40,-20
0.09,2,YHL033C,3,40,-20
0.088,2,YHL033C,1,50,-20
0.088,2,YHL033C,2,50,-20
0.086,2,YHL033C,3,50,-20
0.187,4,YHL033C,1,0,-20
0.184,4,YHL033C,2,0,-20
0.187,4,YHL033C,3,0,-20
0.232,4,YHL033C,1,10,-20
0.201,4,YHL033C,2,10,-20
0.189,4,YHL033C,3,10,-20
0.185,4,YHL033C,1,20,-20
0.2,4,YHL033C,2,20,-20
0.215,4,YHL033C,3,20,-20
0.197,4,YHL033C,1,30,-20
0.199,4,YHL033C,2,30,-20
0.194,4,YHL033C,3,30,-20
0.182,4,YHL033C,1,40,-20
0.191,4,YHL033C,2,40,-20
0.202,4,YHL033C,3,40,-20
0.201,4,YHL033C,1,50,-20
0.189,4,YHL033C,2,50,-20
0.194,4,YHL033C,3,50,-20
0.471,6,YHL033C,1,0,-20
0.471,6,YHL033C,2,0,-20
0.47,6,YHL033C,3,0,-20
0.538,6,YHL033C,1,10,-20
0.49,6,YHL033C,2,10,-20
0.493,6,YHL033C,3,10,-20
0.454,6,YHL033C,1,20,-20
0.5,6,YHL033C,2,20,-20
0.51,6,YHL033C,3,20,-20
0.484,6,YHL033C,1,30,-20
0.507,6,YHL033C,2,30,-20
0.511,6,YHL033C,3,30,-20
0.544,6,YHL033C,1,40,-20
0.46,6,YHL033C,2,40,-20
0.499,6,YHL033C,3,40,-20
0.492,6,YHL033C,1,50,-20
0.488,6,YHL033C,2,50,-20
0.511,6,YHL033C,3,50,-20
0.97,8,YHL033C,1,0,-20
0.969,8,YHL033C,2,0,-20
0.975,8,YHL033C,3,0,-20
1.07,8,YHL033C,1,10,-20
0.997,8,YHL033C,2,10,-20
0.986,8,YHL033C,3,10,-20
1.119,8,YHL033C,1,20,-20
1.163,8,YHL033C,2,20,-20
1.11,8,YHL033C,3,20,-20
1.089,8,YHL033C,1,30,-20
1.146,8,YHL033C,2,30,-20
1.167,8,YHL033C,3,30,-20
1.196,8,YHL033C,1,40,-20
1.184,8,YHL033C,2,40,-20
1.255,8,YHL033C,3,40,-20
1.063,8,YHL033C,1,50,-20
1.127,8,YHL033C,2,50,-20
1.187,8,YHL033C,3,50,-20
1.699,10,YHL033C,1,0,-20
1.724,10,YHL033C,2,0,-20
1.723,10,YHL033C,3,0,-20
1.769,10,YHL033C,1,10,-20
1.702,10,YHL033C,2,10,-20
1.741,10,YHL033C,3,10,-20
1.692,10,YHL033C,1,20,-20
1.802,10,YHL033C,2,20,-20
1.945,10,YHL033C,3,20,-20
1.79,10,YHL033C,1,30,-20
1.827,10,YHL033C,2,30,-20
1.844,10,YHL033C,3,30,-20
