Strain,Colonies_Manual,Colonies_OpenCFU,Ether,Lyticase,State,Replicate
YHL330C + BY4742,369,290,No,0,Vegetative,1
YHL330C + BY4742,522,472,No,0,Vegetative,2
YHL330C + BY4742,312,389,No,0,Vegetative,3
YHL330C + BY4742,440,399,No,200,Vegetative,1
YHL330C + BY4742,418,391,No,200,Vegetative,2
YHL330C + BY4742,544,474,No,200,Vegetative,3
YHL330C + BY4742,257,209,No,300,Vegetative,1
YHL330C + BY4742,400,350,No,300,Vegetative,2
YHL330C + BY4742,372,293,No,300,Vegetative,3
YHL330C + BY4742,625,573,No,0,Spore,1
YHL330C + BY4742,160,148,No,0,Spore,2
YHL330C + BY4742,160,187,No,200,Spore,1
YHL330C + BY4742,130,131,No,200,Spore,2
YHL330C + BY4742,149,130,No,200,Spore,3
YHL330C + BY4742,100,73,No,300,Spore,1
YHL330C + BY4742,170,140,No,300,Spore,2
YHL330C + BY4742,100,100,No,300,Spore,3
YHL330C + BY4742,15,13,Yes ,0,Vegetative,1
YHL330C + BY4742,0,0,Yes ,0,Vegetative,2
YHL330C + BY4742,0,0,Yes ,0,Vegetative,3
YHL330C + BY4742,0,0,Yes ,200,Vegetative,1
YHL330C + BY4742,0,0,Yes ,200,Vegetative,2
YHL330C + BY4742,1,1,Yes ,200,Vegetative,3
YHL330C + BY4742,1,1,Yes ,300,Vegetative,1
YHL330C + BY4742,2,4,Yes ,300,Vegetative,2
YHL330C + BY4742,0,0,Yes ,300,Vegetative,3
YHL330C + BY4742,85,82,Yes ,0,Spore,1
YHL330C + BY4742,45,39,Yes ,0,Spore,2
YHL330C + BY4742,1,1,Yes ,0,Spore,3
YHL330C + BY4742,6,11,Yes ,200,Spore,1
YHL330C + BY4742,125,116,Yes ,200,Spore,2
YHL330C + BY4742,110,92,Yes ,200,Spore,3
YHL330C + BY4742,10,11,Yes ,300,Spore,1
YHL330C + BY4742,130,126,Yes ,300,Spore,2
YHL330C + BY4742,120,114,Yes ,300,Spore,3
