Medium,Strain,State,Replicate,OD,Time
YPD,Y-33C,liquid,1,0.026,0
YPD,Y-33C,liquid,2,0.023,0
YPD,Y-33C,liquid,3,0.022,0
YPD,Y-58W,liquid,1,0.034,0
YPD,Y-58W,liquid,2,0.019,0
YPD,Y-58W,liquid,3,0.017,0
SD-HIS-LEU,Y-33C,liquid,2,0.039,0
SD-HIS-LEU,Y-33C,liquid,3,0.024,0
SD-HIS-LEU,Y-58W,liquid,1,0.022,0
SD-HIS-LEU,Y-58W,liquid,2,0.027,0
SD-HIS-LEU,Y-58W,liquid,3,0.028,0
SD-HIS-LEU,Y-58W,dried,1,,0
SD-HIS-LEU,Y-58W,dried,2,,0
SD-HIS-LEU,Y-58W,dried,3,,0
SD-HIS-LEU,Y-33C,dried,1,,0
SD-HIS-LEU,Y-33C,dried,2,,0
SD-HIS-LEU,Y-33C,dried,3,,0
YPD,Y-58W,dried,1,,0
YPD,Y-58W,dried,2,,0
YPD,Y-58W,dried,3,,0
YPD,Y-33C,dried,1,,0
YPD,Y-33C,dried,2,,0
YPD,Y-33C,dried,3,,0
YPD,Y-33C,liquid,1,0.047,2
YPD,Y-33C,liquid,2,0.056,2
YPD,Y-33C,liquid,3,0.064,2
YPD,Y-58W,liquid,1,0.046,2
YPD,Y-58W,liquid,2,0.051,2
YPD,Y-58W,liquid,3,0.053,2
SD-HIS-LEU,Y-33C,liquid,2,0.038,2
SD-HIS-LEU,Y-33C,liquid,3,0.024,2
SD-HIS-LEU,Y-58W,liquid,1,0.114,2
SD-HIS-LEU,Y-58W,liquid,2,0.023,2
SD-HIS-LEU,Y-58W,liquid,3,0.198,2
SD-HIS-LEU,Y-58W,dried,1,-0.018,2
SD-HIS-LEU,Y-58W,dried,2,-0.018,2
SD-HIS-LEU,Y-58W,dried,3,-0.018,2
SD-HIS-LEU,Y-33C,dried,1,-0.017,2
SD-HIS-LEU,Y-33C,dried,2,-0.018,2
SD-HIS-LEU,Y-33C,dried,3,-0.016,2
YPD,Y-58W,dried,1,0.012,2
YPD,Y-58W,dried,2,0.012,2
YPD,Y-58W,dried,3,0.015,2
YPD,Y-33C,dried,1,0.013,2
YPD,Y-33C,dried,2,0.015,2
YPD,Y-33C,dried,3,0.014,2
YPD,Y-33C,liquid,1,0.091,4
YPD,Y-33C,liquid,2,0.083,4
YPD,Y-33C,liquid,3,0.055,4
YPD,Y-58W,liquid,1,0.093,4
YPD,Y-58W,liquid,2,0.089,4
YPD,Y-58W,liquid,3,0.076,4
SD-HIS-LEU,Y-33C,liquid,2,0.064,4
SD-HIS-LEU,Y-33C,liquid,3,0.022,4
SD-HIS-LEU,Y-58W,liquid,1,0.015,4
SD-HIS-LEU,Y-58W,liquid,2,0.008,4
SD-HIS-LEU,Y-58W,liquid,3,0.015,4
SD-HIS-LEU,Y-58W,dried,1,0.000,4
SD-HIS-LEU,Y-58W,dried,2,0.001,4
SD-HIS-LEU,Y-58W,dried,3,0.000,4
SD-HIS-LEU,Y-33C,dried,1,0.001,4
SD-HIS-LEU,Y-33C,dried,2,0.000,4
SD-HIS-LEU,Y-33C,dried,3,0.000,4
YPD,Y-58W,dried,1,0.000,4
YPD,Y-58W,dried,2,0.000,4
YPD,Y-58W,dried,3,0.000,4
YPD,Y-33C,dried,1,0.000,4
YPD,Y-33C,dried,2,0.000,4
YPD,Y-33C,dried,3,0.000,4
YPD,Y-33C,liquid,1,0.256,6
YPD,Y-33C,liquid,2,0.293,6
YPD,Y-33C,liquid,3,0.288,6
YPD,Y-58W,liquid,1,0.277,6
YPD,Y-58W,liquid,2,0.244,6
YPD,Y-58W,liquid,3,0.251,6
SD-HIS-LEU,Y-33C,liquid,2,0.041,6
SD-HIS-LEU,Y-33C,liquid,3,0.033,6
SD-HIS-LEU,Y-58W,liquid,1,0.036,6
SD-HIS-LEU,Y-58W,liquid,2,0.034,6
SD-HIS-LEU,Y-58W,liquid,3,0.032,6
SD-HIS-LEU,Y-58W,dried,1,0.000,6
SD-HIS-LEU,Y-58W,dried,2,0.000,6
SD-HIS-LEU,Y-58W,dried,3,0.000,6
SD-HIS-LEU,Y-33C,dried,1,0.000,6
SD-HIS-LEU,Y-33C,dried,2,0.000,6
SD-HIS-LEU,Y-33C,dried,3,0.000,6
YPD,Y-58W,dried,1,0.000,6
YPD,Y-58W,dried,2,0.000,6
YPD,Y-58W,dried,3,0.001,6
YPD,Y-33C,dried,1,0.002,6
YPD,Y-33C,dried,2,0.001,6
YPD,Y-33C,dried,3,0.014,6
YPD,Y-33C,liquid,1,0.635,8
YPD,Y-33C,liquid,2,0.676,8
YPD,Y-33C,liquid,3,0.653,8
YPD,Y-58W,liquid,1,0.637,8
YPD,Y-58W,liquid,2,0.556,8
YPD,Y-58W,liquid,3,0.594,8
SD-HIS-LEU,Y-33C,liquid,2,0.042,8
SD-HIS-LEU,Y-33C,liquid,3,0.051,8
SD-HIS-LEU,Y-58W,liquid,1,0.035,8
SD-HIS-LEU,Y-58W,liquid,2,0.044,8
SD-HIS-LEU,Y-58W,liquid,3,0.044,8
SD-HIS-LEU,Y-58W,dried,1,0,8
SD-HIS-LEU,Y-58W,dried,2,0,8
SD-HIS-LEU,Y-58W,dried,3,0,8
SD-HIS-LEU,Y-33C,dried,1,0,8
SD-HIS-LEU,Y-33C,dried,2,0,8
