"","Well","OD","Time","Plate","ID","Strain","Condition","Medium","Replicate"
"1","A1",0.1504,0,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"2","B1",0.1386,0,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"3","C1",0.138,0,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"4","D1",0.1613,0,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"5","E1",0.1985,0,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"6","F1",0.3191,0,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"8","H1",0.1151,0,1,"1-H1","Blank","","YPD",1
"9","A1",0.1699,2,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"10","B1",0.1536,2,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"11","C1",0.1504,2,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"12","D1",0.1709,2,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"13","E1",0.2034,2,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"14","F1",0.3198,2,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"16","H1",0.1147,2,1,"1-H1","Blank","","YPD",1
"17","A1",0.1882,4,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"18","B1",0.166,4,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"19","C1",0.1626,4,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"20","D1",0.1693,4,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"21","E1",0.2027,4,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"22","F1",0.3144,4,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"24","H1",0.115,4,1,"1-H1","Blank","","YPD",1
"25","A1",0.1812,6,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"26","B1",0.1696,6,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"27","C1",0.1668,6,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"28","D1",0.1658,6,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"29","E1",0.2015,6,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"30","F1",0.3027,6,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"32","H1",0.1146,6,1,"1-H1","Blank","","YPD",1
"33","A1",0.2009,8,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"34","B1",0.1727,8,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"35","C1",0.178,8,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"36","D1",0.1634,8,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"37","E1",0.2012,8,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"38","F1",0.2976,8,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"40","H1",0.1141,8,1,"1-H1","Blank","","YPD",1
"41","A1",0.2793,10,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"42","B1",0.2065,10,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"43","C1",0.2209,10,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"44","D1",0.1595,10,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"45","E1",0.1999,10,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"46","F1",0.2849,10,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"48","H1",0.1142,10,1,"1-H1","Blank","","YPD",1
"49","A1",0.5167,12,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"50","B1",0.2772,12,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"51","C1",0.2749,12,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"52","D1",0.1606,12,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"53","E1",0.2021,12,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"54","F1",0.2754,12,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"56","H1",0.1136,12,1,"1-H1","Blank","","YPD",1
"57","A1",0.8727,14,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"58","B1",0.3618,14,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"59","C1",0.3076,14,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"60","D1",0.162,14,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"61","E1",0.1998,14,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"62","F1",0.2668,14,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"64","H1",0.1142,14,1,"1-H1","Blank","","YPD",1
"65","A1",1.3159,16,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"66","B1",0.5378,16,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"67","C1",0.8399,16,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"68","D1",0.1691,16,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"69","E1",0.2018,16,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"70","F1",0.2636,16,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"72","H1",0.1135,16,1,"1-H1","Blank","","YPD",1
"73","A1",1.5317,18,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"74","B1",1.1425,18,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"75","C1",1.2647,18,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"76","D1",0.1867,18,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"77","E1",0.2033,18,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"78","F1",0.2866,18,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"80","H1",0.1139,18,1,"1-H1","Blank","","YPD",1
"81","A1",1.6498,20,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"82","B1",1.5465,20,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"83","C1",1.5993,20,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
