Plate,Well,ID,Strain,Condition,Medium,Replicate
1,A1,1-A1,YHL033C-Y7039,Liquid,YPD,1
1,A2,1-A2,YHL033C-Y7039,Liquid,YPD,2
1,A3,1-A3,YHL033C-Y7039,Liquid,YPD,3
1,A4,1-A4,YHL033C-Y7039,Liquid,SD-His,1
1,A5,1-A5,YHL033C-Y7039,Liquid,SD-His,2
1,A6,1-A6,YHL033C-Y7039,Liquid,SD-His,3
1,A7,1-A7,YHL033C-Y7039,Liquid,SD-His-Leu,1
1,A8,1-A8,YHL033C-Y7039,Liquid,SD-His-Leu,2
1,A9,1-A9,YHL033C-Y7039,Liquid,SD-His-Leu,3
1,B1,1-B1,YIL066C-Y7039,Liquid,YPD,1
1,B2,1-B2,YIL066C-Y7039,Liquid,YPD,2
1,B3,1-B3,YIL066C-Y7039,Liquid,YPD,3
1,B4,1-B4,YIL066C-Y7039,Liquid,SD-His,1
1,B5,1-B5,YIL066C-Y7039,Liquid,SD-His,2
1,B6,1-B6,YIL066C-Y7039,Liquid,SD-His,3
1,B7,1-B7,YIL066C-Y7039,Liquid,SD-His-Leu,1
1,B8,1-B8,YIL066C-Y7039,Liquid,SD-His-Leu,2
1,B9,1-B9,YIL066C-Y7039,Liquid,SD-His-Leu,3
1,C1,1-C1,YML058W-A-Y7039,Liquid,YPD,1
1,C2,1-C2,YML058W-A-Y7039,Liquid,YPD,2
1,C3,1-C3,YML058W-A-Y7039,Liquid,YPD,3
1,C4,1-C4,YML058W-A-Y7039,Liquid,SD-His,1
1,C5,1-C5,YML058W-A-Y7039,Liquid,SD-His,2
1,C6,1-C6,YML058W-A-Y7039,Liquid,SD-His,3
1,C7,1-C7,YML058W-A-Y7039,Liquid,SD-His-Leu,1
1,C8,1-C8,YML058W-A-Y7039,Liquid,SD-His-Leu,2
1,C9,1-C9,YML058W-A-Y7039,Liquid,SD-His-Leu,3
1,D1,1-D1,YHL033C-Y7039,Dried,YPD,1
1,D2,1-D2,YHL033C-Y7039,Dried,YPD,2
1,D3,1-D3,YHL033C-Y7039,Dried,YPD,3
1,D4,1-D4,YHL033C-Y7039,Dried,SD-His,1
1,D5,1-D5,YHL033C-Y7039,Dried,SD-His,2
1,D6,1-D6,YHL033C-Y7039,Dried,SD-His,3
1,D7,1-D7,YHL033C-Y7039,Dried,SD-His-Leu,1
1,D8,1-D8,YHL033C-Y7039,Dried,SD-His-Leu,2
1,D9,1-D9,YHL033C-Y7039,Dried,SD-His-Leu,3
1,E1,1-E1,YIL066C-Y7039,Dried,YPD,1
1,E2,1-E2,YIL066C-Y7039,Dried,YPD,2
1,E3,1-E3,YIL066C-Y7039,Dried,YPD,3
1,E4,1-E4,YIL066C-Y7039,Dried,SD-His,1
1,E5,1-E5,YIL066C-Y7039,Dried,SD-His,2
1,E6,1-E6,YIL066C-Y7039,Dried,SD-His,3
1,E7,1-E7,YIL066C-Y7039,Dried,SD-His-Leu,1
1,E8,1-E8,YIL066C-Y7039,Dried,SD-His-Leu,2
1,E9,1-E9,YIL066C-Y7039,Dried,SD-His-Leu,3
1,F1,1-F1,YML058W-A-Y7039,Dried,YPD,1
1,F2,1-F2,YML058W-A-Y7039,Dried,YPD,2
1,F3,1-F3,YML058W-A-Y7039,Dried,YPD,3
1,F4,1-F4,YML058W-A-Y7039,Dried,SD-His,1
1,F5,1-F5,YML058W-A-Y7039,Dried,SD-His,2
1,F6,1-F6,YML058W-A-Y7039,Dried,SD-His,3
1,F7,1-F7,YML058W-A-Y7039,Dried,SD-His-Leu,1
1,F8,1-F8,YML058W-A-Y7039,Dried,SD-His-Leu,2
1,F9,1-F9,YML058W-A-Y7039,Dried,SD-His-Leu,3
1,H1,1-H1,Blank,,YPD,1
1,H2,1-H2,Blank,,YPD,2
1,H3,1-H3,Blank,,YPD,3
1,H4,1-H4,Blank,,SD-His,1
1,H5,1-H5,Blank,,SD-His,2
1,H6,1-H6,Blank,,SD-His,3
1,H7,1-H7,Blank,,SD-His-Leu,1
1,H8,1-H8,Blank,,SD-His-Leu,2
1,H9,1-H9,Blank,,SD-His-Leu,3
