"","Well","OD","Time","Plate","ID","Strain","Trehalose","Condition","Medium","Replicate"
"1","A1",0.1058,0,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"2","B1",0.0993,0,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"3","C1",0.1174,0,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"4","D1",0.1071,0,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"5","E1",0.1245,0,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"6","F1",0.1095,0,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"7","G1",0.1146,0,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"9","A1",0.1059,2,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"10","B1",0.1012,2,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"11","C1",0.1234,2,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"12","D1",0.1104,2,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"13","E1",0.1271,2,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"14","F1",0.1171,2,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"15","G1",0.1183,2,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"17","A1",0.106,4,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"18","B1",0.0987,4,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"19","C1",0.1207,4,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"20","D1",0.1108,4,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"21","E1",0.122,4,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"22","F1",0.1148,4,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"23","G1",0.1203,4,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"25","A1",0.1058,6,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"26","B1",0.1007,6,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"27","C1",0.1194,6,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"28","D1",0.108,6,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"29","E1",0.1204,6,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"30","F1",0.1135,6,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"31","G1",0.1154,6,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"33","A1",0.1057,8,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"34","B1",0.1032,8,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"35","C1",0.1183,8,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"36","D1",0.1103,8,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"37","E1",0.1204,8,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"38","F1",0.1136,8,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"39","G1",0.1112,8,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"41","A1",0.1058,10,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"42","B1",0.1009,10,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"43","C1",0.1186,10,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"44","D1",0.1092,10,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
