Plate,Well,ID,Strain,Trehalose,Condition,Medium,Replicate
1,A1,1-A1,Y7039 x YHL033C,Growth Medium,Heat Shock,SD-HIS,1
1,A2,1-A2,Y7039 x YHL033C,Growth Medium,Heat Shock,SD-HIS,2
1,A3,1-A3,Y7039 x YHL033C,Growth Medium,Heat Shock,SD-HIS,3
1,A4,1-A4,Y7039 x YHL033C,No,Heat Shock,SD-HIS,1
1,A5,1-A5,Y7039 x YHL033C,No,Heat Shock,SD-HIS,2
1,A6,1-A6,Y7039 x YHL033C,No,Heat Shock,SD-HIS,3
1,A7,1-A7,Y7039 x YHL033C,Growth Medium,Cold Shock,SD-HIS,1
1,A8,1-A8,Y7039 x YHL033C,Growth Medium,Cold Shock,SD-HIS,2
1,A9,1-A9,Y7039 x YHL033C,Growth Medium,Cold Shock,SD-HIS,3
1,A10,1-A10,Y7039 x YHL033C,No,Cold Shock,SD-HIS,1
1,A11,1-A11,Y7039 x YHL033C,No,Cold Shock,SD-HIS,2
1,A12,1-A12,Y7039 x YHL033C,No,Cold Shock,SD-HIS,3
1,B1,1-B1,Y7039 x YHL033C,Growth Medium,Heat Shock,SD-HIS-LEU,1
1,B2,1-B2,Y7039 x YHL033C,Growth Medium,Heat Shock,SD-HIS-LEU,2
1,B3,1-B3,Y7039 x YHL033C,Growth Medium,Heat Shock,SD-HIS-LEU,3
1,B4,1-B4,Y7039 x YHL033C,No,Heat Shock,SD-HIS-LEU,1
1,B5,1-B5,Y7039 x YHL033C,No,Heat Shock,SD-HIS-LEU,2
1,B6,1-B6,Y7039 x YHL033C,No,Heat Shock,SD-HIS-LEU,3
1,B7,1-B7,Y7039 x YHL033C,Growth Medium,Cold Shock,SD-HIS-LEU,1
1,B8,1-B8,Y7039 x YHL033C,Growth Medium,Cold Shock,SD-HIS-LEU,2
1,B9,1-B9,Y7039 x YHL033C,Growth Medium,Cold Shock,SD-HIS-LEU,3
1,B10,1-B10,Y7039 x YHL033C,No,Cold Shock,SD-HIS-LEU,1
1,B11,1-B11,Y7039 x YHL033C,No,Cold Shock,SD-HIS-LEU,2
1,B12,1-B12,Y7039 x YHL033C,No,Cold Shock,SD-HIS-LEU,3
1,C1,1-C1,Y7039 x YHL033C,Growth Medium,RT,SD-HIS,1
1,C2,1-C2,Y7039 x YHL033C,Growth Medium,RT,SD-HIS,2
1,C3,1-C3,Y7039 x YHL033C,Growth Medium,RT,SD-HIS,3
1,C4,1-C4,Y7039 x YHL033C,No,RT,SD-HIS,1
1,C5,1-C5,Y7039 x YHL033C,No,RT,SD-HIS,2
1,C6,1-C6,Y7039 x YHL033C,No,RT,SD-HIS,3
1,C7,1-C7,Y7039 x YHL033C,Sporulation Medium,RT,SD-HIS,1
1,C8,1-C8,Y7039 x YHL033C,Sporulation Medium,RT,SD-HIS,2
1,C9,1-C9,Y7039 x YHL033C,Sporulation Medium,RT,SD-HIS,3
1,C10,1-C10,Y7039 x YHL033C,No,RT,SD-HIS,4
1,C11,1-C11,Y7039 x YHL033C,No,RT,SD-HIS,5
1,C12,1-C12,Y7039 x YHL033C,No,RT,SD-HIS,6
1,D1,1-D1,Y7039 x YHL033C,Growth Medium,RT,SD-HIS-LEU,1
1,D2,1-D2,Y7039 x YHL033C,Growth Medium,RT,SD-HIS-LEU,2
1,D3,1-D3,Y7039 x YHL033C,Growth Medium,RT,SD-HIS-LEU,3
1,D4,1-D4,Y7039 x YHL033C,No,RT,SD-HIS-LEU,1
1,D5,1-D5,Y7039 x YHL033C,No,RT,SD-HIS-LEU,2
1,D6,1-D6,Y7039 x YHL033C,No,RT,SD-HIS-LEU,3
1,D7,1-D7,Y7039 x YHL033C,Sporulation Medium,RT,SD-HIS-LEU,1
1,D8,1-D8,Y7039 x YHL033C,Sporulation Medium,RT,SD-HIS-LEU,2
1,D9,1-D9,Y7039 x YHL033C,Sporulation Medium,RT,SD-HIS-LEU,3
1,D10,1-D10,Y7039 x YHL033C,No,RT,SD-HIS-LEU,4
1,D11,1-D11,Y7039 x YHL033C,No,RT,SD-HIS-LEU,5
1,D12,1-D12,Y7039 x YHL033C,No,RT,SD-HIS-LEU,6
1,E1,1-E1,Y7039 x YHL033C,Sporulation Medium,Heat Shock,SD-HIS,1
1,E2,1-E2,Y7039 x YHL033C,Sporulation Medium,Heat Shock,SD-HIS,2
1,E3,1-E3,Y7039 x YHL033C,Sporulation Medium,Heat Shock,SD-HIS,3
1,E4,1-E4,Y7039 x YHL033C,No,Heat Shock,SD-HIS,4
1,E5,1-E5,Y7039 x YHL033C,No,Heat Shock,SD-HIS,5
1,E6,1-E6,Y7039 x YHL033C,No,Heat Shock,SD-HIS,6
1,E7,1-E7,Y7039 x YHL033C,Sporulation Medium,Cold Shock,SD-HIS,1
1,E8,1-E8,Y7039 x YHL033C,Sporulation Medium,Cold Shock,SD-HIS,2
1,E9,1-E9,Y7039 x YHL033C,Sporulation Medium,Cold Shock,SD-HIS,3
1,E10,1-E10,Y7039 x YHL033C,No,Cold Shock,SD-HIS,4
1,E11,1-E11,Y7039 x YHL033C,No,Cold Shock,SD-HIS,5
1,E12,1-E12,Y7039 x YHL033C,No,Cold Shock,SD-HIS,6
1,F1,1-F1,Y7039 x YHL033C,Sporulation Medium,Heat Shock,SD-HIS-LEU,1
1,F2,1-F2,Y7039 x YHL033C,Sporulation Medium,Heat Shock,SD-HIS-LEU,2
1,F3,1-F3,Y7039 x YHL033C,Sporulation Medium,Heat Shock,SD-HIS-LEU,3
1,F4,1-F4,Y7039 x YHL033C,No,Heat Shock,SD-HIS-LEU,4
1,F5,1-F5,Y7039 x YHL033C,No,Heat Shock,SD-HIS-LEU,5
1,F6,1-F6,Y7039 x YHL033C,No,Heat Shock,SD-HIS-LEU,6
1,F7,1-F7,Y7039 x YHL033C,Sporulation Medium,Cold Shock,SD-HIS-LEU,1
1,F8,1-F8,Y7039 x YHL033C,Sporulation Medium,Cold Shock,SD-HIS-LEU,2
1,F9,1-F9,Y7039 x YHL033C,Sporulation Medium,Cold Shock,SD-HIS-LEU,3
1,F10,1-F10,Y7039 x YHL033C,No,Cold Shock,SD-HIS-LEU,4
1,F11,1-F11,Y7039 x YHL033C,No,Cold Shock,SD-HIS-LEU,5
1,F12,1-F12,Y7039 x YHL033C,No,Cold Shock,SD-HIS-LEU,6
1,G1,1-G1,Blank,Growth Medium,,SD-HIS,1
1,G2,1-G2,Blank,Growth Medium,,SD-HIS,2
1,G3,1-G3,Blank,Growth Medium,,SD-HIS,3
1,G4,1-G4,Blank,No,,SD-HIS,1
1,G5,1-G5,Blank,No,,SD-HIS,2
1,G6,1-G6,Blank,No,,SD-HIS,3
1,G7,1-G7,Blank,Growth Medium,,SD-HIS-LEU,1
1,G8,1-G8,Blank,Growth Medium,,SD-HIS-LEU,2
1,G9,1-G9,Blank,Growth Medium,,SD-HIS-LEU,3
1,G10,1-G10,Blank,No,,SD-HIS-LEU,1
1,G11,1-G11,Blank,No,,SD-HIS-LEU,2
1,G12,1-G12,Blank,No,,SD-HIS-LEU,3
