"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"1","A1",0.1196,0,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"2","B1",0.1216,0,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"3","C1",0.123,0,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"4","D1",0.1218,0,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"7","G1",0.1169,0,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"8","H1",0.1097,0,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"9","A1",0.1269,2,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"10","B1",0.1296,2,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"11","C1",0.1283,2,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"12","D1",0.1315,2,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"15","G1",0.1162,2,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"16","H1",0.1094,2,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"17","A1",0.1427,4,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"18","B1",0.1401,4,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"19","C1",0.1366,4,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"20","D1",0.1447,4,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"23","G1",0.1172,4,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"24","H1",0.1098,4,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"25","A1",0.1627,6,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"26","B1",0.1477,6,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"27","C1",0.1495,6,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"28","D1",0.1533,6,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"31","G1",0.1158,6,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"32","H1",0.1094,6,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"33","A1",0.1699,8,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"34","B1",0.1548,8,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"35","C1",0.1644,8,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"36","D1",0.1516,8,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"39","G1",0.1155,8,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"40","H1",0.109,8,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"41","A1",0.1678,10,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"42","B1",0.158,10,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"43","C1",0.1684,10,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"44","D1",0.1457,10,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"47","G1",0.1156,10,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"48","H1",0.1085,10,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"49","A1",0.1637,12,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"50","B1",0.1852,12,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"51","C1",0.1708,12,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"52","D1",0.1425,12,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"55","G1",0.1154,12,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"56","H1",0.1088,12,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"57","A1",0.1578,14,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"58","B1",0.2261,14,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"59","C1",0.2283,14,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"60","D1",0.1416,14,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"63","G1",0.1171,14,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"64","H1",0.1088,14,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"65","A1",0.1548,16,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"66","B1",0.272,16,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"67","C1",0.3859,16,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"68","D1",0.1411,16,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"71","G1",0.1149,16,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"72","H1",0.1087,16,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"73","A1",0.1509,18,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"74","B1",0.3192,18,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"75","C1",0.5196,18,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"76","D1",0.1403,18,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"79","G1",0.1148,18,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"80","H1",0.1084,18,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"81","A1",0.1557,20,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"82","B1",0.3767,20,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"83","C1",1.043,20,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"84","D1",0.1415,20,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"87","G1",0.1141,20,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"88","H1",0.1085,20,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"89","A1",0.1523,22,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"90","B1",0.442,22,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"91","C1",1.313,22,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"92","D1",0.1417,22,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"95","G1",0.1143,22,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"96","H1",0.1084,22,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"97","A1",0.1523,24,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
