Type,Trehalose,State,Medium,Condition,Colonies
Spores,No,Dried,YPD,Plasma,0
Spores,No,Dried,YPD,Control,0
Spores,No,Dried,SD-HIS,Plasma,0
Spores,No,Dried,SD-HIS,Control,266
Spores,Yes,Dried,YPD,Plasma,200
Spores,Yes,Dried,YPD,Control,156
Spores,Yes,Dried,SD-HIS,Plasma,293
Spores,Yes,Dried,SD-HIS,Control,0
Spores,No,Liquid,YPD,Plasma,4
Spores,No,Liquid,YPD,Control,811
Spores,No,Liquid,SD-HIS,Plasma,590
Spores,No,Liquid,SD-HIS,Control,325
Spores,Yes,Liquid,YPD,Plasma,291
Spores,Yes,Liquid,YPD,Control,690
Spores,Yes,Liquid,SD-HIS,Plasma,69
Spores,Yes,Liquid,SD-HIS,Control,519
Cells,No,Liquid,YPD,Plasma,1498
Cells,No,Liquid,YPD,Control,
Cells,No,Liquid,SD-HIS,Plasma,741
Cells,No,Liquid,SD-HIS,Control,
Cells,Yes,Liquid,YPD,Plasma,1489
Cells,Yes,Liquid,YPD,Control,
Cells,Yes,Liquid,SD-HIS,Plasma,1225
Cells,Yes,Liquid,SD-HIS,Control,
